xAcc,yAcc,zAcc,xGyro,yGyro,zGyro,label
-0.1,-0.09,0.98,-0.43,0.12,-0.43,1
-0.1,-0.09,0.98,-0.24,0.24,0.12,1
-0.1,-0.1,0.98,0.24,0.24,0.43,1
-0.1,-0.1,0.98,0,0.37,0.49,1
-0.1,-0.09,0.98,1.34,0.37,0.43,1
-0.1,-0.09,0.98,0.61,0.43,0.43,1
-0.11,-0.09,0.98,-0.73,-0.43,0.49,1
-0.1,-0.08,0.98,0.61,0.37,0.79,1
-0.1,-0.08,0.98,1.22,0.12,0.31,1
-0.1,-0.09,0.98,0.55,0.43,0.43,1
-0.1,-0.08,0.98,0.79,0.49,0.61,1
-0.11,-0.07,0.98,0.67,0.43,0.73,1
-0.11,-0.07,0.98,0.31,0.24,0.31,1
-0.11,-0.07,0.98,0.79,0.12,0.37,1
-0.1,-0.09,0.98,0.61,0.37,0.37,1
-0.1,-0.08,0.98,0.31,0.24,0.43,1
-0.1,-0.08,0.98,0.43,0.37,0.49,1
-0.1,-0.08,0.98,1.65,0.79,0.18,1
-0.1,-0.09,0.98,0.43,0.24,0.49,1
-0.1,-0.09,0.98,0.37,0.24,0.12,1
-0.1,-0.09,0.98,0.43,0,0.24,1
-0.1,-0.08,0.98,0.73,0.12,0.55,1
-0.1,-0.09,0.98,0.55,0.12,0.24,1
-0.1,-0.08,0.98,0.73,0.43,0.43,1
-0.1,-0.09,0.98,0.49,0.37,0.49,1
-0.1,-0.09,0.98,0,0.24,0.43,1
-0.1,-0.09,0.98,0.12,0.06,0.24,1
-0.1,-0.09,0.98,0.98,0.24,0.55,1
-0.1,-0.09,0.98,0.55,0.18,0.49,1
-0.1,-0.09,0.98,0.98,0.37,0.61,1
-0.1,-0.09,0.98,0.73,0.49,0.31,1
-0.1,-0.09,0.98,0.85,0.37,0.06,1
-0.1,-0.09,0.98,0.67,0.31,0.49,1
-0.1,-0.09,0.98,0.31,0.12,0.37,1
-0.1,-0.08,0.98,0.37,0.37,0.43,1
-0.1,-0.09,0.98,0.61,0.31,0.43,1
-0.1,-0.09,0.98,0.37,0.12,0.43,1
-0.1,-0.09,0.98,0.24,0.24,0.43,1
-0.1,-0.1,0.98,0.61,0.31,0.18,1
-0.1,-0.09,0.98,0.73,0.24,0.43,1
-0.1,-0.09,0.98,0.24,0.24,0.24,1
-0.1,-0.09,0.98,0.67,0.55,0.55,1
-0.1,-0.09,0.98,0.49,0.24,0.31,1
-0.1,-0.09,0.98,0.06,0.18,0.37,1
-0.1,-0.09,0.98,0.55,0.24,0.37,1
-0.1,-0.09,0.98,0.67,0.43,0.31,1
-0.1,-0.09,0.98,1.16,0.43,0.31,1
-0.1,-0.09,0.98,0.12,0,0.31,1
-0.1,-0.09,0.98,1.04,0.37,0.24,1
-0.1,-0.09,0.98,0.55,0.18,0.43,1
-0.1,-0.09,0.98,0.37,0.24,0.18,1
-0.1,-0.09,0.98,0.37,0.24,0.12,1
-0.1,-0.09,0.98,0.06,0.31,0.43,1
-0.1,-0.09,0.98,0.18,0.24,0.31,1
-0.1,-0.09,0.98,0.37,0.18,0.18,1
-0.1,-0.09,0.98,0.73,0.31,0.12,1
-0.1,-0.08,0.98,0.61,0.12,0.31,1
-0.1,-0.09,0.98,0.49,0.12,0.37,1
-0.1,-0.09,0.98,0.67,0.49,0.43,1
-0.1,-0.09,0.98,0.31,0.37,0.31,1
-0.1,-0.09,0.98,0.31,0.12,0.24,1
-0.1,-0.09,0.98,1.28,0.12,-0.43,1
-0.1,-0.09,0.99,-7.93,0.24,0.37,1
-0.1,-0.08,0.98,0.67,0.06,0.37,1
-0.1,-0.08,0.98,1.22,0.12,0.61,1
-0.1,-0.09,0.98,0.49,0.12,0.85,1
-0.1,-0.09,0.98,0.43,0.31,0.55,1
-0.1,-0.09,0.98,0.55,0.24,0.31,1
-0.1,-0.09,0.98,0.92,0.79,0.12,1
-0.11,-0.08,0.98,0.18,0.49,0.37,1
-0.1,-0.09,0.99,0,0.06,0.24,1
-0.1,-0.09,0.98,0.79,0.12,0.43,1
-0.12,-0.15,0.98,0.12,0,0.37,1
